Energy_rel_Fermi(eV),DOS(states/eV)
-5.781259094590200043e+00,7.835433265508668066e-11
-5.775474943420024765e+00,1.392555511353362766e-10
-5.769690792249849487e+00,2.458419717201662742e-10
-5.763906641079674209e+00,4.311154211599027169e-10
-5.758122489909498931e+00,7.509743422895678389e-10
-5.752338338739323653e+00,1.299423312407329371e-09
-5.746554187569148375e+00,2.233419082155944485e-09
-5.740770036398973097e+00,3.813149251144930029e-09
-5.734985885228797819e+00,6.466829339616429368e-09
-5.729201734058622542e+00,1.089414143402222832e-08
-5.723417582888447264e+00,1.823008241630379762e-08
-5.717633431718271986e+00,3.030248664438231809e-08
-5.711849280548096708e+00,5.003361916051600346e-08
-5.706065129377921430e+00,8.206152475420655795e-08
-5.700280978207746152e+00,1.336937975158558604e-07
-5.694496827037570874e+00,2.163599887899664013e-07
-5.688712675867395596e+00,3.478056676330267321e-07
-5.682928524697220318e+00,5.553801747361344009e-07
-5.677144373527045040e+00,8.809233150973397400e-07
-5.671360222356869762e+00,1.387969266503414330e-06
-5.665576071186694485e+00,2.172279024211345388e-06
-5.659791920016519207e+00,3.377111355395137940e-06
-5.654007768846343929e+00,5.215178374874569315e-06
-5.648223617676168651e+00,7.999944368053797878e-06
-5.642439466505993373e+00,1.218986175176756497e-05
-5.636655315335818095e+00,1.845034991716726773e-05
-5.630871164165642817e+00,2.773987167129834320e-05
-5.625087012995467539e+00,4.142841344592416801e-05
-5.619302861825292261e+00,6.145909621779853534e-05
-5.613518710655116983e+00,9.056659724814259771e-05
-5.607734559484941705e+00,1.325695999572511132e-04
-5.601950408314766428e+00,1.927586403572274082e-04
-5.596166257144591150e+00,2.784054780659907810e-04
-5.590382105974415872e+00,3.994254307383073997e-04
-5.584597954804240594e+00,5.692298440650617490e-04
-5.578813803634065316e+00,8.058118033307781194e-04
-5.573029652463890038e+00,1.133113988721036296e-03
-5.567245501293714760e+00,1.582732758708409139e-03
-5.561461350123539482e+00,2.196016480618262490e-03
-5.555677198953364204e+00,3.026618013025267513e-03
-5.549893047783188926e+00,4.143560109922121010e-03
-5.544108896613013648e+00,5.634867236549058987e-03
-5.538324745442838370e+00,7.611806617986713493e-03
-5.532540594272663093e+00,1.021376398332718774e-02
-5.526756443102487815e+00,1.361375415202223903e-02
-5.520972291932312537e+00,1.802453221915407272e-02
-5.515188140762137259e+00,2.370522682015335086e-02
-5.509403989591961981e+00,3.096836245901423909e-02
-5.503619838421786703e+00,4.018707350518538335e-02
-5.497835687251611425e+00,5.180223940919922304e-02
-5.492051536081436147e+00,6.632919121209229774e-02
-5.486267384911260869e+00,8.436355697978795143e-02
-5.480483233741085591e+00,1.065857331074939462e-01
-5.474699082570910313e+00,1.337633955028905419e-01
-5.468914931400735036e+00,1.667514066004676387e-01
-5.463130780230559758e+00,2.064884389841443180e-01
-5.457346629060384480e+00,2.539896325549313993e-01
-5.451562477890209202e+00,3.103346380083002454e-01
-5.445778326720033924e+00,3.766504823837841243e-01
-5.439994175549858646e+00,4.540888284694129529e-01
-5.434210024379683368e+00,5.437973922168148899e-01
-5.428425873209508090e+00,6.468855310032718409e-01
-5.422641722039332812e+00,7.643843163877042102e-01
-5.416857570869157534e+00,8.972017490822754571e-01
-5.411073419698982256e+00,1.046074147377417995e+00
-5.405289268528806979e+00,1.211515124546173494e+00
-5.399505117358631701e+00,1.393763942848998072e+00
-5.393720966188456423e+00,1.592735365428871175e+00
-5.387936815018281145e+00,1.807973394619085017e+00
-5.382152663848105867e+00,2.038611458100080487e+00
-5.376368512677930589e+00,2.283341657387787382e+00
-5.370584361507755311e+00,2.540395605450724847e+00
-5.364800210337580033e+00,2.807539137965929577e+00
-5.359016059167404755e+00,3.082082780997691618e+00
-5.353231907997229477e+00,3.360909302467798732e+00
-5.347447756827054199e+00,3.640518982877125609e+00
-5.341663605656878921e+00,3.917092440979365264e+00
-5.335879454486703644e+00,4.186569981635938298e+00
-5.330095303316528366e+00,4.444745543600992832e+00
-5.324311152146353088e+00,4.687372467942645393e+00
-5.318527000976177810e+00,4.910277538835140732e+00
-5.312742849806002532e+00,5.109479121350131159e+00
-5.306958698635827254e+00,5.281304783407564152e+00
-5.301174547465651976e+00,5.422503578997689644e+00
-5.295390396295476698e+00,5.530348211540988324e+00
-5.289606245125301420e+00,5.602722598306626445e+00
-5.283822093955126142e+00,5.638190910439281112e+00
-5.278037942784950864e+00,5.636044942419072612e+00
-5.272253791614773810e+00,5.596327627959876594e+00
-5.266469640444598532e+00,5.519831611589378184e+00
-5.260685489274423254e+00,5.408072942296623609e+00
-5.254901338104247976e+00,5.263241108817933167e+00
-5.249117186934072699e+00,5.088127716783387378e+00
-5.243333035763897421e+00,4.886037052751038168e+00
-5.237548884593722143e+00,4.660682535583421604e+00
-5.231764733423546865e+00,4.416073581617040666e+00
-5.225980582253371587e+00,4.156397682623523160e+00
-5.220196431083196309e+00,3.885902507922611271e+00
-5.214412279913021031e+00,3.608782604574988895e+00
-5.208628128742845753e+00,3.329074808412435971e+00
-5.202843977572670475e+00,3.050565832856230397e+00
-5.197059826402495197e+00,2.776714720698342909e+00
-5.191275675232319919e+00,2.510591980487993702e+00
-5.185491524062144642e+00,2.254836339460130734e+00
-5.179707372891969364e+00,2.011629182022522500e+00
-5.173923221721794086e+00,1.782685953540600332e+00
-5.168139070551618808e+00,1.569263131546666079e+00
-5.162354919381443530e+00,1.372178827923127731e+00
-5.156570768211268252e+00,1.191844701943950868e+00
-5.150786617041092974e+00,1.028306639791671584e+00
-5.145002465870917696e+00,8.812915853449688752e-01
-5.139218314700742418e+00,7.502579748776309065e-01
-5.133434163530567140e+00,6.344474133082349532e-01
-5.127650012360391862e+00,5.329355058586288107e-01
-5.121865861190216584e+00,4.446800984147690206e-01
-5.116081710020041307e+00,3.685655546391055082e-01
-5.110297558849866029e+00,3.034420820308105782e-01
-5.104513407679690751e+00,2.481594901499661054e-01
-5.098729256509515473e+00,2.015951039772932718e-01
-5.092945105339340195e+00,1.626758506156688044e-01
-5.087160954169164917e+00,1.303947799406232622e-01
-5.081376802998989639e+00,1.038224656999850309e-01
-5.075592651828814361e+00,8.211386332685141620e-02
-5.069808500658639083e+00,6.451127802712978976e-02
-5.064024349488463805e+00,5.034412761642319961e-02
-5.058240198318288527e+00,3.902617674698879296e-02
-5.052456047148113250e+00,3.005088096447330187e-02
-5.046671895977937972e+00,2.298541889437252794e-02
-5.040887744807762694e+00,1.746391670007537214e-02
-5.035103593637587416e+00,1.318028778915305080e-02
-5.029319442467412138e+00,9.881028424353101303e-03
-5.023535291297236860e+00,7.358231000603697447e-03
-5.017751140127061582e+00,5.443004588802954728e-03
-5.011966988956886304e+00,3.999429049908726115e-03
-5.006182837786711026e+00,2.919115686575517263e-03
-5.000398686616535748e+00,2.116404275746768416e-03
-4.994614535446360470e+00,1.524193016322106286e-03
-4.988830384276185193e+00,1.090373575631459115e-03
-4.983046233106009915e+00,7.748268868337638117e-04
-4.977262081935834637e+00,5.469253589206387331e-04
-4.971477930765659359e+00,3.834824135448666846e-04
-4.965693779595484081e+00,2.670895259179408465e-04
-4.959909628425308803e+00,1.847831116003606760e-04
-4.954125477255133525e+00,1.269877149320346979e-04
-4.948341326084958247e+00,8.668723571687981762e-05
-4.942557174914782969e+00,5.878176388856879244e-05
-4.936773023744607691e+00,3.959351757938147905e-05
-4.930988872574432413e+00,2.649107449995642330e-05
-4.925204721404257135e+00,1.760633959680747942e-05
-4.919420570234081858e+00,1.162338407153569910e-05
-4.913636419063906580e+00,7.622371577524275051e-06
-4.907852267893731302e+00,4.965256141939554949e-06
-4.902068116723556024e+00,3.212826047599603305e-06
-4.896283965553380746e+00,2.065031974561047384e-06
-4.890499814383205468e+00,1.318439975906981288e-06
-4.884715663213030190e+00,8.361572472366143759e-07
-4.878931512042854912e+00,5.267560926850958632e-07
-4.873147360872679634e+00,3.296288311053990779e-07
-4.867363209702504356e+00,2.048966353798959025e-07
-4.861579058532329078e+00,1.265139679263675915e-07
-4.855794907362153801e+00,7.759542937544591996e-08
-4.850010756191978523e+00,4.727459510783600745e-08
-4.844226605021803245e+00,2.860971350428907946e-08
-4.838442453851627967e+00,1.719860464979018520e-08
-4.832658302681452689e+00,1.026991694643262758e-08
-4.826874151511277411e+00,6.091646079088223690e-09
-4.821090000341102133e+00,3.589189664448595351e-09
-4.815305849170926855e+00,2.100642594579269446e-09
-4.809521698000751577e+00,1.221242585254234013e-09
-4.803737546830576299e+00,7.052542728695988528e-10
-4.797953395660401021e+00,4.045605451142256757e-10
-4.792169244490225744e+00,2.305235713237005592e-10
-4.786385093320050466e+00,1.304791641963789655e-10
-4.780600942149875188e+00,7.336028445789289949e-11
-4.774816790979699910e+00,4.097083931215537218e-11
-4.769032639809524632e+00,2.272912560316351145e-11
-4.763248488639349354e+00,1.252519828822902906e-11
-4.757464337469174076e+00,6.856153068455877088e-12
-4.751680186298998798e+00,3.727952872728073855e-12
-4.745896035128823520e+00,2.013512526231839765e-12
-4.740111883958648242e+00,1.080269890542350639e-12
-4.734327732788472964e+00,5.757105935929473782e-13
-4.728543581618297686e+00,3.047685746638811441e-13
-4.722759430448122409e+00,1.602618532491428515e-13
-4.716975279277947131e+00,8.371131241339010708e-14
-4.711191128107771853e+00,4.343423278514165895e-14
-4.705406976937596575e+00,2.238588003406461370e-14
-4.699622825767421297e+00,1.146067515925834214e-14
-4.693838674597246019e+00,5.828277851727993214e-15
-4.688054523427070741e+00,2.944179646094559212e-15
-4.682270372256895463e+00,1.477346534776050739e-15
-4.676486221086720185e+00,7.363672471569151972e-16
-4.670702069916544907e+00,3.645864822983255562e-16
-4.664917918746369629e+00,1.793084164132182184e-16
-4.659133767576194352e+00,8.759812317183879002e-17
-4.653349616406019074e+00,4.250920091466594202e-17
-4.647565465235843796e+00,2.049109159861901218e-17
-4.641781314065668518e+00,9.811632244378045150e-18
-4.635997162895493240e+00,4.666716756959481022e-18
-4.630213011725317962e+00,2.204832677041179792e-18
-4.624428860555142684e+00,1.034746210815183545e-18
-4.618644709384967406e+00,4.823764157706171864e-19
-4.612860558214792128e+00,2.233738354566750777e-19
-4.607076407044616850e+00,1.027478043535119387e-19
-4.601292255874441572e+00,4.694688835006977577e-20
-4.595508104704266295e+00,2.130762713320135666e-20
-4.589723953534091017e+00,9.606327264246703779e-21
-4.583939802363915739e+00,4.302032441513594100e-21
-4.578155651193740461e+00,1.913744686210103797e-21
-4.572371500023565183e+00,8.456454727905285508e-22
-4.566587348853389905e+00,3.711817988637559329e-22
-4.560803197683214627e+00,1.618374510824866736e-22
-4.555019046513039349e+00,7.009150753313753188e-23
-4.549234895342864071e+00,3.015405937929636027e-23
-4.543450744172688793e+00,1.288606103634696794e-23
-4.537666593002513515e+00,5.470015992931473641e-24
-4.531882441832338237e+00,2.306487056080569069e-24
-4.526098290662162960e+00,9.660674753043575764e-25
-4.520314139491987682e+00,4.019369324933708792e-25
-4.514529988321812404e+00,1.661125251392860675e-25
-4.508745837151637126e+00,6.819316699048521004e-26
-4.502961685981461848e+00,2.780823044912884374e-26
-4.497177534811286570e+00,1.126418724257211100e-26
-4.491393383641111292e+00,4.532318087007514857e-27
-4.485609232470936014e+00,1.811485726369515006e-27
-4.479825081300760736e+00,7.191897090491575463e-28
-4.474040930130585458e+00,2.836259908274507108e-28
-4.468256778960410180e+00,1.111073018769370764e-28
-4.462472627790234903e+00,4.323477370865753293e-29
-4.456688476620059625e+00,1.671159078947219720e-29
-4.450904325449884347e+00,6.416473556257055830e-30
-4.445120174279709069e+00,2.447197602324887257e-30
-4.439336023109533791e+00,9.271194276918143225e-31
-4.433551871939358513e+00,3.488962797830029518e-31
-4.427767720769183235e+00,1.304220460737986600e-31
-4.421983569599007957e+00,4.842835232189759969e-32
-4.416199418428832679e+00,1.786250613733538267e-32
-4.410415267258657401e+00,6.544539636951784499e-33
-4.404631116088482123e+00,2.381824879003595120e-33
-4.398846964918306846e+00,8.610622822246732646e-34
-4.393062813748131568e+00,3.092098486877179315e-34
-4.387278662577956290e+00,1.102976055694628862e-34
-4.381494511407781012e+00,3.908164769081732089e-35
-4.375710360237605734e+00,1.375541389387592953e-35
-4.369926209067430456e+00,4.809151753640709291e-36
-4.364142057897255178e+00,1.670157150799818244e-36
-4.358357906727079900e+00,5.761562465037516869e-37
-4.352573755556904622e+00,1.974319457270474836e-37
-4.346789604386729344e+00,6.720308053959993731e-38
-4.341005453216554066e+00,2.272253133434027827e-38
-4.335221302046378788e+00,7.631739388884065459e-39
-4.329437150876203511e+00,2.546245586009126536e-39
-4.323652999706028233e+00,8.439552571346111688e-40
-4.317868848535852955e+00,2.779587740452202846e-40
-4.312084697365677677e+00,9.103109132482365479e-41
-4.306300546195502399e+00,2.970948998285820514e-41
-4.300516395025327121e+00,9.727740405657999091e-42
-4.294732243855151843e+00,3.260278553629696906e-42
-4.288948092684976565e+00,1.180990031709705733e-42
-4.283163941514801287e+00,5.169774214247717264e-43
-4.277379790344626009e+00,4.197656231354416957e-43
-4.271595639174450731e+00,4.197656231354416957e-43
-4.265811488004275454e+00,4.197656231354416957e-43
-4.260027336834100176e+00,4.197656231354416957e-43
-4.254243185663924898e+00,4.197656231354416957e-43
-4.248459034493749620e+00,4.197656231354416957e-43
-4.242674883323574342e+00,4.197656231354416957e-43
-4.236890732153399064e+00,4.197656231354416957e-43
-4.231106580983223786e+00,4.197656231354416957e-43
-4.225322429813048508e+00,4.197656231354416957e-43
-4.219538278642873230e+00,4.197656231354416957e-43
-4.213754127472697952e+00,4.197656231354416957e-43
-4.207969976302522674e+00,4.197656231354416957e-43
-4.202185825132347397e+00,4.197656231354416957e-43
-4.196401673962172119e+00,4.197656231354416957e-43
-4.190617522791996841e+00,4.197656231354416957e-43
-4.184833371621821563e+00,4.197656231354416957e-43
-4.179049220451646285e+00,4.197656231354416957e-43
-4.173265069281471007e+00,4.197656231354416957e-43
-4.167480918111295729e+00,4.197656231354416957e-43
-4.161696766941120451e+00,4.197656231354416957e-43
-4.155912615770945173e+00,4.197656231354416957e-43
-4.150128464600769895e+00,4.197656231354416957e-43
-4.144344313430594617e+00,4.197656231354416957e-43
-4.138560162260419339e+00,4.197656231354416957e-43
-4.132776011090244062e+00,4.197656231354416957e-43
-4.126991859920068784e+00,4.197656231354416957e-43
-4.121207708749893506e+00,4.197656231354416957e-43
-4.115423557579718228e+00,4.197656231354416957e-43
-4.109639406409542950e+00,4.197656231354416957e-43
-4.103855255239367672e+00,4.197656231354416957e-43
-4.098071104069190618e+00,4.197656231354416957e-43
-4.092286952899015340e+00,4.197656231354416957e-43
-4.086502801728840062e+00,4.197656231354416957e-43
-4.080718650558664784e+00,4.197656231354416957e-43
-4.074934499388489506e+00,4.197656231354416957e-43
-4.069150348218314228e+00,4.197656231354416957e-43
-4.063366197048138950e+00,4.197656231354416957e-43
-4.057582045877963672e+00,4.197656231354416957e-43
-4.051797894707788394e+00,4.197656231354416957e-43
-4.046013743537613117e+00,4.197656231354416957e-43
-4.040229592367437839e+00,4.197656231354416957e-43
-4.034445441197262561e+00,4.197656231354416957e-43
-4.028661290027087283e+00,4.197656231354416957e-43
-4.022877138856912005e+00,4.197656231354416957e-43
-4.017092987686736727e+00,4.197656231354416957e-43
-4.011308836516561449e+00,4.197656231354416957e-43
-4.005524685346386171e+00,4.197656231354416957e-43
-3.999740534176210893e+00,4.197656231354416957e-43
-3.993956383006035615e+00,4.197656231354416957e-43
-3.988172231835860337e+00,4.197656231354416957e-43
-3.982388080665685060e+00,4.197656231354416957e-43
-3.976603929495509782e+00,4.197656231354416957e-43
-3.970819778325334504e+00,4.197656231354416957e-43
-3.965035627155159226e+00,4.197656231354416957e-43
-3.959251475984983948e+00,4.197656231354416957e-43
-3.953467324814808670e+00,4.197656231354416957e-43
-3.947683173644633392e+00,4.197656231354416957e-43
-3.941899022474458114e+00,4.197656231354416957e-43
-3.936114871304282836e+00,4.197656231354416957e-43
-3.930330720134107558e+00,4.197656231354416957e-43
-3.924546568963932280e+00,4.197656231354416957e-43
-3.918762417793757002e+00,4.197656231354416957e-43
-3.912978266623581725e+00,4.197656231354416957e-43
-3.907194115453406447e+00,4.197656231354416957e-43
-3.901409964283231169e+00,4.197656231354416957e-43
-3.895625813113055891e+00,4.197656231354416957e-43
-3.889841661942880613e+00,4.197656231354416957e-43
-3.884057510772705335e+00,4.197656231354416957e-43
-3.878273359602530057e+00,4.197656231354416957e-43
-3.872489208432354779e+00,4.197656231354416957e-43
-3.866705057262179501e+00,4.197656231354416957e-43
-3.860920906092004223e+00,4.197656231354416957e-43
-3.855136754921828945e+00,4.197656231354416957e-43
-3.849352603751653668e+00,4.197656231354416957e-43
-3.843568452581478390e+00,4.197656231354416957e-43
-3.837784301411303112e+00,4.197656231354416957e-43
-3.832000150241127834e+00,4.197656231354416957e-43
-3.826215999070952556e+00,4.197656231354416957e-43
-3.820431847900777278e+00,4.197656231354416957e-43
-3.814647696730602000e+00,4.197656231354416957e-43
-3.808863545560426722e+00,4.197656231354416957e-43
-3.803079394390251444e+00,4.197656231354416957e-43
-3.797295243220076166e+00,4.197656231354416957e-43
-3.791511092049900888e+00,4.197656231354416957e-43
-3.785726940879725611e+00,4.197656231354416957e-43
-3.779942789709550333e+00,4.197656231354416957e-43
-3.774158638539375055e+00,4.197656231354416957e-43
-3.768374487369199777e+00,4.197656231354416957e-43
-3.762590336199024499e+00,4.197656231354416957e-43
-3.756806185028849221e+00,4.197656231354416957e-43
-3.751022033858673943e+00,4.197656231354416957e-43
-3.745237882688498665e+00,4.197656231354416957e-43
-3.739453731518323387e+00,4.197656231354416957e-43
-3.733669580348148109e+00,4.197656231354416957e-43
-3.727885429177972831e+00,4.197656231354416957e-43
-3.722101278007797553e+00,4.197656231354416957e-43
-3.716317126837622276e+00,4.197656231354416957e-43
-3.710532975667446998e+00,4.197656231354416957e-43
-3.704748824497271720e+00,4.197656231354416957e-43
-3.698964673327096442e+00,4.197656231354416957e-43
-3.693180522156921164e+00,4.197656231354416957e-43
-3.687396370986745886e+00,4.197656231354416957e-43
-3.681612219816570608e+00,4.197656231354416957e-43
-3.675828068646395330e+00,4.197656231354416957e-43
-3.670043917476220052e+00,4.197656231354416957e-43
-3.664259766306044774e+00,4.197656231354416957e-43
-3.658475615135869496e+00,4.197656231354416957e-43
-3.652691463965694219e+00,4.197656231354416957e-43
-3.646907312795518941e+00,4.197656231354416957e-43
-3.641123161625343663e+00,4.197656231354416957e-43
-3.635339010455168385e+00,4.197656231354416957e-43
-3.629554859284993107e+00,4.197656231354416957e-43
-3.623770708114817829e+00,4.197656231354416957e-43
-3.617986556944642551e+00,4.197656231354416957e-43
-3.612202405774467273e+00,4.197656231354416957e-43
-3.606418254604291995e+00,4.197656231354416957e-43
-3.600634103434116717e+00,4.197656231354416957e-43
-3.594849952263941439e+00,4.197656231354416957e-43
-3.589065801093766162e+00,4.197656231354416957e-43
-3.583281649923590884e+00,4.197656231354416957e-43
-3.577497498753415606e+00,4.197656231354416957e-43
-3.571713347583240328e+00,4.197656231354416957e-43
-3.565929196413065050e+00,4.197656231354416957e-43
-3.560145045242889772e+00,4.197656231354416957e-43
-3.554360894072714494e+00,4.197656231354416957e-43
-3.548576742902539216e+00,4.197656231354416957e-43
-3.542792591732363938e+00,4.197656231354416957e-43
-3.537008440562188660e+00,4.197656231354416957e-43
-3.531224289392013382e+00,4.197656231354416957e-43
-3.525440138221838104e+00,4.197656231354416957e-43
-3.519655987051662827e+00,4.197656231354416957e-43
-3.513871835881487549e+00,4.197656231354416957e-43
-3.508087684711312271e+00,4.197656231354416957e-43
-3.502303533541136993e+00,4.197656231354416957e-43
-3.496519382370961715e+00,4.197656231354416957e-43
-3.490735231200786437e+00,4.197656231354416957e-43
-3.484951080030611159e+00,4.197656231354416957e-43
-3.479166928860435881e+00,4.197656231354416957e-43
-3.473382777690260603e+00,4.197656231354416957e-43
-3.467598626520085325e+00,4.197656231354416957e-43
-3.461814475349910047e+00,4.197656231354416957e-43
-3.456030324179734770e+00,4.197656231354416957e-43
-3.450246173009559492e+00,4.197656231354416957e-43
-3.444462021839384214e+00,4.197656231354416957e-43
-3.438677870669208936e+00,4.197656231354416957e-43
-3.432893719499033658e+00,4.197656231354416957e-43
-3.427109568328858380e+00,4.197656231354416957e-43
-3.421325417158683102e+00,4.197656231354416957e-43
-3.415541265988507824e+00,4.197656231354416957e-43
-3.409757114818332546e+00,4.197656231354416957e-43
-3.403972963648157268e+00,4.197656231354416957e-43
-3.398188812477981990e+00,4.197656231354416957e-43
